,address,type,balance,date,year
0,1JoktQJhCzuCQkt3GnQ8Xddcq4mUgNyXEa,pubkeyhash,217517.63438199,2014-12-02,2014
1,1FfmbHfnpaZjKFvyi1okTjJJusN455paPH,pubkeyhash,144336.39692843,2013-10-25,2013
2,3HyULbPVM739jPVk4i3PKZ4LibhYP1HsLc,scripthash,134173.14811081,2014-11-28,2014
3,12WmWuSQCgpEkPQTZ4ABijQaz6TCV69ZpE,pubkeyhash,105258.88,2011-11-09,2011
4,39coweGgC8CPZ6hYL1BBEfc1zqbSfHsprW,scripthash,100000.0,2015-06-19,2015
5,3Kg7Cmooris7cLErTsijq6qR1FH3cTiK2G,scripthash,94772.0,2015-01-08,2015
6,3Nxwenay9Z8Lc9JBiywExpnEFiLp6Afp8v,scripthash,92082.81,2015-12-01,2015
7,3HNSiAq7wFDaPsYDcUxNSRMD78qVcYKicw,scripthash,91550.68508142,2016-05-04,2016
8,1BtK4w7yuvtWEqmMJcjW6DqWuqXBWii2ZC,pubkeyhash,90000.0,2010-11-08,2010
9,17ewBhK712mY2E4uPAbinThibdY2LRyabd,pubkeyhash,85993.0,2013-12-22,2013
10,1NJWs6g6hQsgxqtpRxXLhZJwHYhH2P2bvx,pubkeyhash,80001.0,2010-10-02,2010
11,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,pubkeyhash,79956.0,2011-03-01,2011
12,1HQ3Go3ggs8pFnXuHVHRytPCq5fGG8Hbhx,pubkeyhash,69471.082201,2013-04-09,2013
13,3Kg7Cmooris7cLErTsijq6qR1FH3cTiK2G,scripthash,62228.0,2014-12-24,2014
14,39coweGgC8CPZ6hYL1BBEfc1zqbSfHsprW,scripthash,59999.99770001,2014-12-04,2014
15,1PUR3qV3zKcGYXDhmT8o7ekCJP7hnSGzwj,pubkeyhash,55000.01,2011-06-14,2011
16,1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeC,pubkeyhash,53880.05311692,2014-05-27,2014
17,1GLEtzJ1H2zoGrUA4RMbRJam5UJSdrk6T2,pubkeyhash,53880.0421,2013-02-01,2013
18,1LnyAwAn3QYQrte5eykMR29k6CkhTu4m4W,pubkeyhash,52863.60524842,2011-06-19,2011
19,12pCPrWvudnefJCtXQUBcm9z2NogtC3Rix,pubkeyhash,50000.403,2014-12-08,2014
20,19eJDWL3j3ABd17imWAZjmmPa6FGYGARL7,pubkeyhash,50000.0,2010-11-26,2010
21,3Nxwenay9Z8Lc9JBiywExpnEFiLp6Afp8v,scripthash,50000.0,2015-11-05,2015
22,1P3S1grZYmcqYDuaEDVDYobJ5Fx85E9fE9,pubkeyhash,50000.0,2011-11-16,2011
23,13vJZKHKBirruXwmjMaRtakzPQRRHQit1S,pubkeyhash,49729.6698,2012-01-01,2012
24,16tJXD8UqL1z3o7GV5XBcoEDeGKJ9pm9Qk,pubkeyhash,48957.97,2011-09-13,2011
25,1BBqjKsYuLEUE9Y5WzdbzCtYzCiQgHqtPN,pubkeyhash,47598.46,2012-05-06,2012
26,17UUsmejDsjJEtbRcotd289ADp7ZdanH5k,pubkeyhash,45880.0,2013-03-30,2013
27,1MuYkciQTfRsU94ReAe5MiAfUpCrbLBcFR,pubkeyhash,44864.20534842,2013-02-25,2013
28,1BVA88962SxcymHSfqXSy9F7cgXefi3zgt,pubkeyhash,44511.441,2012-03-30,2012
29,1CaGxqCQv2ofqLf37HCUQoLujzRMaz74LK,pubkeyhash,44341.12194935,2014-12-08,2014
30,16unci4w6erqKNFYAGYTVUyJUsXV9EUH28,pubkeyhash,41700.0,2013-12-24,2013
31,16cou7Ht6WjTzuFyDBnht9hmvXytg6XdVT,pubkeyhash,41000.0,2012-02-18,2012
32,1933phfhK3ZgFQNLGSDXvqCn32k2buXY8a,pubkeyhash,40954.56541907,2011-07-02,2011
33,19Mz2o9RDABT74SA9njZqMtJXKEzj2qUoH,pubkeyhash,40000.32441101,2015-03-10,2015
34,14j6jLececs66ZQ8ew6vTFNiEn2NupacWJ,pubkeyhash,40000.313371,2013-10-07,2013
35,1BqcwhKevdBKeos72b8E32Swjrp4iDVnjP,pubkeyhash,40000.0,2012-10-01,2012
36,1cXNTyXj4xPGopfYZNY5xfSM1EPJJvBZV,pubkeyhash,40000.0,2011-11-16,2011
37,12HddUDLhRP2F8JjpKYeKaDxxt5wUvx5nq,pubkeyhash,40000.0,2011-11-16,2011
38,16Ls6azc76ixc9Ny7AB5ZPPq6oiEL9XwXy,pubkeyhash,40000.0,2011-11-16,2011
39,1B9KrM7bjhJ42qJSWr1KJrNTAP1SNGMpJu,pubkeyhash,39999.9999,2015-01-03,2015
40,16cou7Ht6WjTzuFyDBnht9hmvXytg6XdVT,pubkeyhash,39500.0,2011-12-01,2011
41,18Hsgq92AUB1PYLU6MUMQXiwdebaDRo9oQ,pubkeyhash,38000.0,2011-06-03,2011
42,1FngtAcZsLfK89MNe7TqzyqVtSype8TiVD,pubkeyhash,37242.3,2011-06-27,2011
43,1BvX9foyn81QZbwyPFBK9SkeWJqWiYp4Tu,pubkeyhash,35909.998,2013-12-07,2013
44,13Df4x5nQo7boLWHxQCbJzobN5gUNT65Hh,pubkeyhash,35420.0,2014-08-01,2014
45,159SCycgn8weAy2XGUEhD6V1RTFni7E3iq,pubkeyhash,35323.8093592,2013-04-03,2013
46,13Df4x5nQo7boLWHxQCbJzobN5gUNT65Hh,pubkeyhash,35012.55,2014-02-04,2014
47,39coweGgC8CPZ6hYL1BBEfc1zqbSfHsprW,scripthash,35000.0,2014-12-06,2014
48,1HCnKPouxZkwyez9nDUMr4RcgHEs4mqqsx,pubkeyhash,34995.39,2011-08-19,2011
49,13ssxUjmQqemuiBfJSBsr7gFX7UWU7uXNK,pubkeyhash,34323.920101,2013-12-11,2013
50,1GdVp8gMW2MjK3L8gNWXLR8uRNFfB4Qex3,pubkeyhash,33200.0,2010-10-21,2010
51,1MoQZ9fFz9QQYM3pt8z9Xs99jNPwfSzMEu,pubkeyhash,32000.0,2010-11-15,2010
52,1s4pPJap3eCRLdgxwSKTW5gxeuXZKrRT4,pubkeyhash,31425.07,2010-11-08,2010
53,3KBUuGko4H5ke7EVsq9B7PLK1c5Askdd7y,scripthash,31377.99651,2014-10-22,2014
54,16cou7Ht6WjTzuFyDBnht9hmvXytg6XdVT,pubkeyhash,31000.0,2012-05-18,2012
55,14f6ZV83eke4DQsqTQsGaNrMNvHmwCm59t,pubkeyhash,30784.26899989,2012-12-31,2012
56,1EECyYDrjCBk39f2gKSsbcXLpRWu5pu1MF,pubkeyhash,30500.0,2013-11-25,2013
57,12ib7dApVFvg82TXKycWBNpN8kFyiAN1dr,pubkeyhash,30000.0,2010-06-19,2010
58,1Cp18yeabUg14CNp2HGwKisDoixiGgzmeT,pubkeyhash,30000.0,2010-02-10,2010
59,1KdZ1EoVwT9HxmZT7qr9mRPc7hcDq82xsu,pubkeyhash,30000.0,2010-12-29,2010
60,1E675PVKbzUWAN6bGoMJ4c1TnD5BNkYbe3,pubkeyhash,30000.0,2012-12-13,2012
61,1GsGdtcrD4xKHHpuB3gNGxonak8oqGAWp7,pubkeyhash,30000.0,2010-10-28,2010
62,1MyGwFAJjVtB5rGJa32M6Yh46cGirUta1K,pubkeyhash,29999.99,2011-11-16,2011
63,32GxivQN3VKtVEtgsH5uTWfXd5b2LkXyUZ,scripthash,29655.0,2015-10-07,2015
64,13NNBop1ETfQQ78gC5q7dU8hXRRPVUwiRG,pubkeyhash,28999.99998833,2015-11-17,2015
65,139Vxkqcrs5fB9JvZcBzKuPwqsoVwisykJ,pubkeyhash,28599.9938,2012-12-21,2012
66,16cTyJLWbXQz3UZ3sYjy6A6VGX4sAqiEo1,pubkeyhash,28156.51306529,2014-10-15,2014
67,14yDRQyQozHddRXZ6PsJGGWgCfBhxda1dS,pubkeyhash,27904.87947257,2013-10-21,2013
68,3LzDzKkatQRXuQ6UxTcWQLuwuhH5nt7TJc,scripthash,26851.60314607,2014-12-08,2014
69,15iaA8tRFepu4KzXZYypFejsrfJQ9YT47B,pubkeyhash,26599.9720089,2012-10-08,2012
70,1Kf33BbrJDuAVC91w9ACtRgf6KJrLWSkHV,pubkeyhash,26166.89,2012-05-12,2012
71,1KiqpqG9UwMhcc9pHGFXpz25H7wyNqQff9,pubkeyhash,26100.0,2010-12-06,2010
72,1F1tAaz5x1HUXrCNLbtMDqcw6o5GNn4xqX,pubkeyhash,25950.0,2013-10-02,2013
73,3HZUwxZbYRef9oEuvSvjgVMyZ227Hur7ng,scripthash,25750.0,2015-01-31,2015
74,32YrU9f4KqvPTDrkHABhR8rVxJvHPQr4CG,scripthash,25708.77511835,2014-11-28,2014
75,13Df4x5nQo7boLWHxQCbJzobN5gUNT65Hh,pubkeyhash,25500.0,2013-12-10,2013
76,1933phfhK3ZgFQNLGSDXvqCn32k2buXY8a,pubkeyhash,25000.0,2011-12-20,2011
77,3Nxwenay9Z8Lc9JBiywExpnEFiLp6Afp8v,scripthash,25000.0,2017-03-31,2017
78,12WRnQR85ZUT7dhmaHBNL5dde2QLYieW6v,pubkeyhash,25000.0,2014-11-16,2014
79,12WFth5HabiVrcj5waHtDP1b7gXSQPuDPz,pubkeyhash,25000.0,2013-12-06,2013
80,1AxP9ex3rm2LpsdM5NZ4ed3qT4asVX6E72,pubkeyhash,25000.0,2010-10-16,2010
81,18JPragfuDVHWWG8ABQ15cghJFetnXUjBD,pubkeyhash,24404.5046,2012-11-24,2012
82,12JXuXqTyHiQbXmEMZ9PQ6BJ5SrLo8De2t,pubkeyhash,24139.1725,2013-09-19,2013
83,1Pw48g5zwghYtYUhfjMppxxZnzaUu8ognh,pubkeyhash,23738.91,2010-10-26,2010
84,33vpLgKtNoHGHMpdwWsjPjyvbVxTVFPDED,scripthash,23700.08931,2014-10-22,2014
85,3Ap6mixhHLmVtH41YHH94Ut4jBfmqRpzgQ,scripthash,23497.51286201,2015-08-09,2015
86,1Ff2xcJtfWWiNRCTUuTng6TJQm3g8h61Y2,pubkeyhash,23246.49,2010-03-06,2010
87,1HYGzEjtQsmrhBAf19nd9eNvcz34RAzhRc,pubkeyhash,23173.0,2010-04-30,2010
88,1CbR8da9YPZqXJJKm9ze1GYf67eKAUfXwP,pubkeyhash,23000.0,2013-11-28,2013
89,1EBHA1ckUWzNKN7BMfDwGTx6GKEbADUozX,pubkeyhash,22956.82883101,2013-11-26,2013
90,1BADznNF3W1gi47R65MQs754KB7zTaGuYZ,pubkeyhash,22813.0,2012-05-06,2012
91,1Ff2xcJtfWWiNRCTUuTng6TJQm3g8h61Y2,pubkeyhash,22500.0,2009-11-19,2009
92,17CJvRrNdqSPN3Zs2dWfNY6GoCiMRfNG2T,pubkeyhash,22490.0,2010-05-21,2010
93,16rfUGQTa5WnigGjKqUAz7M8LdroRzMAU2,pubkeyhash,21900.98,2011-11-26,2011
94,1Gnhy34EBtz9ftQdGZooGTpVE6E9wL2VZN,pubkeyhash,21744.0,2013-12-19,2013
95,1Fx3N5iFPDQxUKhhmDJqCMmi3U8Y7gSncx,pubkeyhash,21600.13397752,2013-07-18,2013
96,1B9KrM7bjhJ42qJSWr1KJrNTAP1SNGMpJu,pubkeyhash,21000.01,2013-12-10,2013
97,1ESujXRiTPg1WpAmsDMFes4zUoNbfd4xei,pubkeyhash,21000.0,2015-08-31,2015
98,1JsVdtXZHKnuzUihEjCPyRm5EEcxRjWGEh,pubkeyhash,21000.0,2013-05-11,2013
99,12fZ2HxkLjG9zn1u44XYsFFYKHM4A2zCea,pubkeyhash,20844.17,2011-01-17,2011
100,3PGsdyp3SB4pVMGAZQAkddxf4w7fNE6tFz,scripthash,20796.17678817,2014-11-28,2014
101,3HyULbPVM739jPVk4i3PKZ4LibhYP1HsLc,scripthash,20780.1149852,2015-12-31,2015
102,16cou7Ht6WjTzuFyDBnht9hmvXytg6XdVT,pubkeyhash,20486.27278628,2012-04-20,2012
103,199BUGp8n52xHvr3hHPTPrA96UkymrN58n,pubkeyhash,20000.0001,2015-03-09,2015
104,15CVfJUC1LKn1GKZx6RM5UMbFfnTd8vTT4,pubkeyhash,20000.0001,2014-04-23,2014
105,3Nxwenay9Z8Lc9JBiywExpnEFiLp6Afp8v,scripthash,20000.0,2015-11-03,2015
106,1Jx3qqWN2RcbhwuAUEgFraRuJfBHdYKEs9,pubkeyhash,20000.0,2015-01-26,2015
107,18f1yugoAJuXcHAbsuRVLQC9TezJ6iVRLp,pubkeyhash,20000.0,2013-11-26,2013
108,1ABS7zUZP76NjNYs9DLoWnKfZFTR7WLrAM,pubkeyhash,20000.0,2013-11-26,2013
109,14e7XAZbepQp9MXXzjNG3fNLoAUpaBAXHW,pubkeyhash,20000.0,2013-11-26,2013
110,1FeSRnut5MS2BdVbrLDN3jWzJZaS7EVBbU,pubkeyhash,20000.0,2010-10-12,2010
111,1EGgArtZHFLc2KCJijhV6zWpzUrj54xRga,pubkeyhash,20000.0,2010-12-21,2010
112,1PnMfRF2enSZnR6JSexxBHuQnxG8Vo5FVK,pubkeyhash,20000.0,2013-11-26,2013
113,39coweGgC8CPZ6hYL1BBEfc1zqbSfHsprW,scripthash,20000.0,2014-12-05,2014
114,15CVfJUC1LKn1GKZx6RM5UMbFfnTd8vTT4,pubkeyhash,20000.0,2014-02-18,2014
115,194DnvmLR2HULRvxUsVag8mn2fm7dA3U2B,pubkeyhash,20000.0,2013-11-26,2013
116,1KiVwxEuGBYavyKrxkLncJt2pQ5YUUQX7f,pubkeyhash,20000.0,2013-11-26,2013
117,16cou7Ht6WjTzuFyDBnht9hmvXytg6XdVT,pubkeyhash,20000.0,2012-06-13,2012
