,address,type,year,balance
0,1BtK4w7yuvtWEqmMJcjW6DqWuqXBWii2ZC,pubkeyhash,2010,9000000000000.0
1,1JiTbxqmmkC9izgpC9QLcqGWbQs42PtC7r,pubkeyhash,2010,5790065000000.0
2,19eJDWL3j3ABd17imWAZjmmPa6FGYGARL7,pubkeyhash,2010,5000000000000.0
3,1NJWs6g6hQsgxqtpRxXLhZJwHYhH2P2bvx,pubkeyhash,2010,4000000000000.0
4,17CJvRrNdqSPN3Zs2dWfNY6GoCiMRfNG2T,pubkeyhash,2010,3303500000000.0
5,1MoQZ9fFz9QQYM3pt8z9Xs99jNPwfSzMEu,pubkeyhash,2010,3200000000000.0
6,1s4pPJap3eCRLdgxwSKTW5gxeuXZKrRT4,pubkeyhash,2010,3142407000000.0
7,199QiJj1miojVSAop7gpAamscHd77r12ET,pubkeyhash,2010,3133845000000.0
8,12ib7dApVFvg82TXKycWBNpN8kFyiAN1dr,pubkeyhash,2010,3100000000000.0
9,1GsGdtcrD4xKHHpuB3gNGxonak8oqGAWp7,pubkeyhash,2010,3000000000000.0
10,1KdZ1EoVwT9HxmZT7qr9mRPc7hcDq82xsu,pubkeyhash,2010,3000000000000.0
11,15oCtt4tujaUQr1JicBqePsTg5Mz7AN3Ma,pubkeyhash,2010,2999000000000.0
12,12tkqA9xSoowkzoERHMWNKsTey55YEBqkv,pubkeyhash,2010,2815000000000.0
13,1KiqpqG9UwMhcc9pHGFXpz25H7wyNqQff9,pubkeyhash,2010,2610000000000.0
14,1Pw48g5zwghYtYUhfjMppxxZnzaUu8ognh,pubkeyhash,2010,2554958000000.0
15,14o3HbKWdgpeMrX6fwWE95nR6XRBFMKsfp,pubkeyhash,2010,2505258000000.0
16,1AxP9ex3rm2LpsdM5NZ4ed3qT4asVX6E72,pubkeyhash,2010,2500000000000.0
17,1GdVp8gMW2MjK3L8gNWXLR8uRNFfB4Qex3,pubkeyhash,2010,2320000000000.0
18,1EGgArtZHFLc2KCJijhV6zWpzUrj54xRga,pubkeyhash,2010,2000000000000.0
