,address,type,balance,date,year
0,1Ff2xcJtfWWiNRCTUuTng6TJQm3g8h61Y2,pubkeyhash,2324649000000,2010-03-06,2009
1,1Ff2xcJtfWWiNRCTUuTng6TJQm3g8h61Y2,pubkeyhash,2250000000000,2009-11-19,2009
2,1Ph1WL8gHPW1VShh55yJpRQE57wth6zSBm,pubkeyhash,1595435000000,2009-12-14,2009
3,12higDjoCCNXSA95xZMWUdPvXNmkAduhWv,pubkeyhash,1074900000000,2010-01-12,2009
4,1MxR5zEtu4cq3Sm7AtfpvpLyJwf4f4kJBi,pubkey,1000020000000,2009-12-01,2009
5,12higDjoCCNXSA95xZMWUdPvXNmkAduhWv,pubkeyhash,600000000000,2009-07-20,2009
6,12higDjoCCNXSA95xZMWUdPvXNmkAduhWv,pubkeyhash,550000000000,2009-08-07,2009
7,15J5MZxBkbo88hfHbY96UEDdWWtTJKTBgj,pubkeyhash,545000000000,2009-12-15,2009
8,12higDjoCCNXSA95xZMWUdPvXNmkAduhWv,pubkeyhash,525000000000,2011-05-19,2009
9,12higDjoCCNXSA95xZMWUdPvXNmkAduhWv,pubkeyhash,500000000000,2009-10-20,2009
10,12higDjoCCNXSA95xZMWUdPvXNmkAduhWv,pubkeyhash,500000000000,2009-09-17,2009
11,12higDjoCCNXSA95xZMWUdPvXNmkAduhWv,pubkeyhash,350000000000,2009-04-20,2009
12,12higDjoCCNXSA95xZMWUdPvXNmkAduhWv,pubkeyhash,300000000000,2009-05-29,2009
13,12higDjoCCNXSA95xZMWUdPvXNmkAduhWv,pubkeyhash,300000000000,2009-06-22,2009
14,12higDjoCCNXSA95xZMWUdPvXNmkAduhWv,pubkeyhash,240000000000,2009-03-16,2009
15,12higDjoCCNXSA95xZMWUdPvXNmkAduhWv,pubkeyhash,229853000000,2009-08-26,2009
16,1N6cJEdLm7KSg1jRXTYKv7iYkRtzFLKNDH,pubkey,225000000000,2009-04-20,2009
17,12higDjoCCNXSA95xZMWUdPvXNmkAduhWv,pubkeyhash,220000000000,2009-02-09,2009
18,1PZwWEJe5YGx9bzJbEpgXiWLuWnyD2rjLA,pubkeyhash,219957000000,2011-05-03,2009
19,12higDjoCCNXSA95xZMWUdPvXNmkAduhWv,pubkeyhash,200000000000,2009-09-22,2009
20,15J5MZxBkbo88hfHbY96UEDdWWtTJKTBgj,pubkeyhash,190000000000,2009-12-09,2009
21,12higDjoCCNXSA95xZMWUdPvXNmkAduhWv,pubkeyhash,180000000000,2009-02-27,2009
22,12higDjoCCNXSA95xZMWUdPvXNmkAduhWv,pubkeyhash,160000000000,2009-03-31,2009
23,12higDjoCCNXSA95xZMWUdPvXNmkAduhWv,pubkeyhash,155000000000,2009-10-29,2009
24,12higDjoCCNXSA95xZMWUdPvXNmkAduhWv,pubkeyhash,150000000000,2009-05-04,2009
25,12higDjoCCNXSA95xZMWUdPvXNmkAduhWv,pubkeyhash,150000000000,2009-02-16,2009
26,12higDjoCCNXSA95xZMWUdPvXNmkAduhWv,pubkeyhash,150000000000,2009-09-29,2009
27,12higDjoCCNXSA95xZMWUdPvXNmkAduhWv,pubkeyhash,140000000000,2009-03-26,2009
28,1Ff2xcJtfWWiNRCTUuTng6TJQm3g8h61Y2,pubkeyhash,132500000000,2010-10-09,2009
29,12higDjoCCNXSA95xZMWUdPvXNmkAduhWv,pubkeyhash,120033000000,2009-03-04,2009
30,198aMn6ZYAczwrE5NvNTUMyJ5qkfy4g3Hi,pubkeyhash,120000000000,2009-03-08,2009
31,12higDjoCCNXSA95xZMWUdPvXNmkAduhWv,pubkeyhash,100000000000,2009-06-25,2009
32,12higDjoCCNXSA95xZMWUdPvXNmkAduhWv,pubkeyhash,100000000000,2009-01-26,2009
33,12higDjoCCNXSA95xZMWUdPvXNmkAduhWv,pubkeyhash,100000000000,2009-09-25,2009
34,198aMn6ZYAczwrE5NvNTUMyJ5qkfy4g3Hi,pubkeyhash,100000000000,2009-03-28,2009
35,1PZwWEJe5YGx9bzJbEpgXiWLuWnyD2rjLA,pubkeyhash,100000000000,2009-02-08,2009
